Anode TotalCurrent(nmos_99770006382255046656_4345102241715714_8531001140175912960_200_10_200_des) X,Anode TotalCurrent(nmos_99770006382255046656_4345102241715714_8531001140175912960_200_10_200_des) Y
-2,-6.8643406e-8
-1.960396,-6.0484073e-8
-1.9207921,-5.3147124e-8
-1.8811881,-4.6567373e-8
-1.8415842,-4.0679873e-8
-1.8019802,-3.542669e-8
-1.7623762,-3.0752449e-8
-1.7227723,-2.6605642e-8
-1.6831683,-2.2938011e-8
-1.6435644,-1.9704575e-8
-1.6039604,-1.6863433e-8
-1.5643564,-1.4375573e-8
-1.5247525,-1.2204983e-8
-1.4851485,-1.0318036e-8
-1.4455446,-8.6818685e-9
-1.4059406,-7.2709958e-9
-1.3663366,-6.0605507e-9
-1.3267327,-5.0262504e-9
-1.2871287,-4.1452783e-9
-1.2475248,-3.3991156e-9
-1.2079208,-2.7708866e-9
-1.1683168,-2.2448541e-9
-1.1287129,-1.806494e-9
-1.0891089,-1.4438134e-9
-1.049505,-1.1457472e-9
-1.009901,-9.023126e-10
-0.97029703,-7.0471075e-10
-0.93069307,-5.4569153e-10
-0.89108911,-4.1830482e-10
-0.85148515,-3.1738456e-10
-0.81188119,-2.3800244e-10
-0.77227723,-1.7623842e-10
-0.73267327,-1.2864064e-10
-0.69306931,-9.2453541e-11
-0.65346535,-6.5295204e-11
-0.61386139,-4.519982e-11
-0.57425743,-3.0630081e-11
-0.53465347,-2.0280877e-11
-0.4950495,-1.3057701e-11
-0.45544554,-8.153308e-12
-0.41584158,-4.8994993e-12
-0.37623762,-2.81686e-12
-0.33663366,-1.5381272e-12
-0.2970297,-7.8444823e-13
-0.25742574,-3.654954e-13
-0.21782178,-1.4582075e-13
-0.17821782,-3.8008961e-14
-0.13861386,1.1772087e-14
-0.099009901,3.5758245e-14
-0.059405941,5.2285875e-14
-0.01980198,7.136287e-14
0.01980198,9.9362912e-14
0.059405941,1.4287e-13
0.099009901,2.1078235e-13
0.13861386,3.1402949e-13
0.17821782,4.6348158e-13
0.21782178,6.6772138e-13
0.25742574,9.3462779e-13
0.2970297,1.2823646e-12
0.33663366,1.7692635e-12
0.37623762,1.8985602e-13
0.41584158,8.7474776e-13
0.45544554,4.0359344e-12
0.4950495,1.8634878e-11
0.53465347,8.6076175e-11
0.57425743,3.9767993e-10
0.61386139,1.8375258e-9
0.65346535,8.4909077e-9
0.69306931,3.9234987e-8
0.73267327,1.812846e-7
0.77227723,8.3739843e-7
0.81188119,3.8642073e-6
0.85148515,1.7755935e-5
0.89108911,8.0139024e-5
0.93069307,0.00033831191
0.97029703,0.001200574
1.009901,0.0032828135
1.049505,0.0070430823
1.0891089,0.01266769
1.1287129,0.020191642
1.1683168,0.029582037
1.2079208,0.040772401
1.2475248,0.053676738
1.2871287,0.068194678
1.3267327,0.084212025
1.3663366,0.10159809
1.4059406,0.12019983
1.4455446,0.13983182
1.4851485,0.16025981
1.5247525,0.18117392
1.5643564,0.20214529
1.6039604,0.22255865
1.6435644,0.24152589
1.6831683,0.25785393
1.7227723,0.27031666
1.7623762,0.27845551
1.8019802,0.28319659
1.8415842,0.28611626
1.8811881,0.28823963
1.9207921,0.28995645
1.960396,0.29139992
2,0.29263246

