BV,X,Y,etime,gap,width,ngr,sigma,depth
-159.528337859,0.026123046875,4.46072265625,299.3676073551178,3.52,0.89,1,0.017,0.26
-342.571508838,0.64208984375,4.50791015625,4295.191664934157,3.51,1.37,16,0.0963,0.81
-168.353318528,-0.13671875,4.49134521484,3543.3091542720795,4.85,2.28,19,0.0318,0.1
-458.04326513800004,0.64208984375,48.9873046875,8270.73327589035,1.03,3.42,10,0.0714,0.83
-494.161450584,0.620849609375,4.46055664062,9464.454033136368,1.36,4.93,16,0.0194,0.85
-423.87834972300004,0.5712890625,12.9001171875,2528.2721457481384,1.44,2.74,2,0.086,0.78
-352.016596555,0.69873046875,69.1183203125,8106.546369791032,0.81,3.23,16,0.0455,0.9
-167.313249709,0.054443359375,4.4775390625,3667.4329690933228,3.21,3.89,15,0.026,0.28
-295.242976995,0.30224609375,4.5482421875,6849.31782245636,4.84,1.01,32,0.089,0.5
-158.50921149299998,-0.0583546846323,4.5009765625,1456.9417238235474,3.04,1.19,16,0.0142,0.18
-239.128390859,0.606689453125,4.4974316406199994,1585.189569234848,2.59,0.62,11,0.0323,0.83
-272.845195575,0.07568359375,4.57073242188,2357.032239675522,4.49,2.6,9,0.0757,0.32
-200.0708661,0.295166015625,4.46591796875,5006.999814271927,4.52,1.78,27,0.0284,0.52
-255.7482478,0.61376953125,4.51171875,5455.038597822188,4.98,3.42,20,0.0406,0.84
-228.153845618,0.404907226563,58.2364453125,4366.0159397125235,0.37,3.47,14,0.0161,0.64
-325.49424073,0.479248046875,41.4937402344,2705.2331523895264,0.34,3.77,9,0.0686,0.68
-334.680723245,0.479248046875,4.4940478515599995,4200.519774913788,2.94,4.37,13,0.0759,0.66
-217.10322009400002,0.16064453125,4.49384765625,2394.038210630417,4.43,2.05,12,0.0502,0.38
-216.81963194,0.0615234375,4.48828125,4455.3951427936545,3.98,1.16,31,0.0517,0.26
-175.266949952,-0.115478515625,4.51171875,1670.0840735435486,3.36,2.44,10,0.0479,0.12
-338.282666108,0.436767578125,88.7229199219,9328.793024778366,0.69,3.99,18,0.0316,0.66
-225.181458223,0.27392578125,4.49490234375,5577.428864955902,4.09,2.19,31,0.0403,0.5
-255.336638051,0.606689453125,4.51281738281,7374.13662147522,4.84,2.32,31,0.0488,0.82
-233.61637269099998,-0.06591796875,4.5210546875,6045.144391536713,4.4,0.26,29,0.092,0.15
-168.876533027,-0.06591796875,4.46572265625,2003.9211492538445,2.45,2.37,16,0.0213,0.17
-175.68467158599998,-0.25,4.53298828125,4582.093401670456,2.02,2.82,24,0.0548,0.06
-476.955820755,0.69873046875,4.5374707031199994,10293.424204349518,2.66,4.86,17,0.0982,0.89
-231.992736493,-0.242919921875,4.6098828125,3217.2974660396576,3.23,1.11,18,0.0968,0.12
-232.379765679,-0.0517578125,4.5446777343800004,1375.2149024009705,4.66,3.19,5,0.0665,0.19
-264.353610078,0.203125,4.5084375,2174.3560497760773,4.18,4.78,8,0.0749,0.39
-256.339999593,0.24560546875,4.49920898437,4874.343413591385,4.72,2.89,16,0.0597,0.44
-169.036397064,-0.15087890625,4.477138671880001,4254.818440198897,3.43,1.14,27,0.0471,0.07
-193.73475815900002,-0.049394212856800006,4.50576171875,963.236100435257,4.48,1.35,5,0.0356,0.18
-268.92697690299997,0.50048828125,4.5056640625,3472.0524826049805,2.65,2.02,18,0.0383,0.74
-492.256665821,0.4580078125,4.4634375,5156.9394166469565,2.11,2.31,16,0.0902,0.62
-338.389008358,0.01904296875,4.51828125,7359.178804397583,1.74,2.48,29,0.0713,0.21
-240.122473278,0.58544921875,4.4905957031199994,2695.575917720795,3.83,2.53,14,0.0441,0.81
