experimentid,BV,time,gap,width,ngr,sigma,depth
0,-464.09232464900003,11050.608966350555,3.86,1.25,13,0.053,0.96
64,-406.71166269099996,11860.188894033432,4.15,0.47,10,0.0665,0.67
1,-481.367165204,39137.47834444046,0.71,2.56,6,0.0307,0.97
60,-346.86245913199997,8873.994779109955,3.75,3.34,8,0.0672,0.23
80,-511.857962032,5329.358320951462,0.72,2.02,4,0.0777,0.79
2,-485.009859869,7993.19510269165,1.62,2.53,8,0.0451,0.22
33,-526.1464830909999,21688.475594997406,0.47,2.96,26,0.0871,0.58
50,-413.656350963,4502.273256063461,3.17,4.6,4,0.0632,0.44
3,-236.655652057,12261.853956222534,3.22,3.67,29,0.0545,0.01
36,-295.53172016400003,7318.078207731247,2.72,2.63,15,0.0746,0.09
45,-401.65936715099997,27127.09638094902,3.06,2.43,13,0.0914,0.27
66,-348.05341722,9665.64748454094,2.86,2.94,13,0.0635,0.21
5,-354.21219566900004,3264.3440668582916,3.05,0.64,5,0.0686,0.22
30,-515.747996299,12728.085740804672,2.67,0.69,20,0.0558,0.89
39,-299.254188713,19858.281700849533,3.19,2.72,11,0.0282,0.25
6,-714.3479874139999,16763.83340883255,1.54,2.32,13,0.0827,0.26
89,-388.851237266,7618.428400039673,1.68,0.31,16,0.0339,0.23
7,-358.113910738,6643.038638353348,2.99,1.07,6,0.026,0.7
32,-338.104275044,11567.558924913406,2.89,0.62,26,0.0233,0.43
44,-251.79793896099997,6116.02891087532,1.99,1.6,18,0.0367,0.05
8,-376.733257905,30073.43934392929,3.81,1.92,23,0.0145,0.93
51,-465.06604963300003,19427.616936683655,0.71,3.84,13,0.0217,0.81
9,-656.779499116,39629.43970656395,0.93,3.58,18,0.0643,0.89
10,-485.89382181,6383.103986740112,1.68,0.95,8,0.0555,0.23
31,-708.731805751,2526.537650823593,1.85,0.63,2,0.0907,0.47
11,-268.741032905,16409.055092811584,4.16,3.9,15,0.0629,0.07
40,-396.24353101599996,5125.91414642334,3.63,0.64,7,0.0735,0.38
68,-432.201180304,2065.8639192581177,4.9,2.88,0,0.0943,0.68
75,-434.73995686800004,18393.522131204605,1.95,3.48,17,0.0414,0.26
65,-576.370070542,19282.17089486122,0.89,4.93,9,0.0586,0.98
14,-289.938589814,14960.397844552994,4.54,3.61,12,0.0108,0.61
38,-878.544545732,32228.678403139114,1.22,2.83,29,0.0769,0.22
112,-236.241578559,7241.005068540573,2.77,0.57,10,0.01,0.17
