id,Total_Charge,BV,X,Y,3.5V,4.5V,Ron,Vf,gap,width,ngr,sigma,depth
0,5.13961729697e-9,-212.832318781,0.0296630859375,574.971164551,50394079.3442,218832393.052,0.000670126752302,4.40758584696,3.52,0.89,1,0.017,0.26
1,6.0316964495e-9,-284.575935852,0.748291015625,609.269643555,21409754.7919,74302588.5446,0.00235231839934,6.43138129307,0.7,0.62,26,0.0139,0.99
3,7.96814455119e-9,-476.536946111,0.67041015625,574.977275391,24323688.3174,86888426.538,0.00227485444083,5.93748205499,3.51,1.37,16,0.0963,0.81
4,9.1578035542e-9,-301.271674045,0.450927734375,721.019373779,28342934.6529,104497377.953,0.00226518023085,5.49786274829,0.31,4.4,31,0.0577,0.66
5,4.86920625326e-9,-196.400416106,-0.135033017895,575.004369507,68385167.9075,313487648.282,0.000683922568793,4.10671507804,4.85,2.28,19,0.0318,0.1
6,7.93921421342e-9,-470.57971789,0.64208984375,619.515625,24129507.227,85829281.1511,0.00208231965095,5.9700145919,1.03,3.42,10,0.0714,0.83
7,9.009830928e-9,-585.09745342,0.61376953125,574.972954102,23968361.607,84791265.9288,0.00249949234761,6.0195263929,1.36,4.93,16,0.0194,0.85
8,7.90137651302e-9,-469.632525593,0.5712890625,583.400214844,24890867.9223,88592461.657,0.00179536438124,5.90103197995,1.44,2.74,2,0.086,0.78
9,7.45356141822e-9,-417.754464626,0.712890625,639.589907227,22864743.7906,79980384.8363,0.00239336415944,6.19416713862,0.81,3.23,16,0.0455,0.9
10,5.73455926478e-9,-260.215057983,0.054443359375,574.935424805,47951781.9675,205888441.074,0.000978863819306,4.46916285952,3.21,3.89,15,0.026,0.28
12,4.57620550395e-9,-177.177109782,-0.0552978515625,574.991386719,59068584.2393,271431092.156,0.000649650465981,4.22461192647,3.04,1.19,16,0.0142,0.18
13,6.13367744573e-9,-299.566112895,0.58544921875,574.988602295,24351141.3787,86141566.607,0.00201993355377,5.97850979843,2.59,0.62,11,0.0323,0.83
14,6.37104133714e-9,-321.715860915,0.146484375,575.011169434,43179665.8083,178824882.648,0.00100523072375,4.62798476242,4.49,2.6,9,0.0757,0.32
16,6.23449337033e-9,-302.753180039,0.635009765625,574.951049805,24050832.6382,84649558.6247,0.00301811271405,6.02842481513,4.98,3.42,20,0.0406,0.84
17,5.03584195542e-9,-207.518571827,0.404907226563,628.723833008,29310169.7656,108915471.787,0.00166102438622,5.41046876026,0.37,3.47,14,0.0161,0.64
18,7.47906487291e-9,-338.203354704,0.486328125,612.00887085,27685098.2211,100658257.189,0.00171951963214,5.58441678695,0.34,3.77,9,0.0686,0.68
19,7.56489283426e-9,-435.273799322,0.47216796875,574.968845215,28128741.385,103056569.926,0.00199637752256,5.5272992091,2.94,4.37,13,0.0759,0.66
20,6.35746822436e-9,-315.442845713,0.1748046875,574.950288086,40130805.3459,161419630.167,0.00117232873017,4.75666548706,4.43,2.05,12,0.0502,0.38
21,5.94010855939e-9,-281.480768214,0.07568359375,574.963251953,48703133.0114,206590114.834,0.0011322382561,4.46554212478,3.98,1.16,31,0.0517,0.26
22,5.35855731207e-9,-234.367369077,-0.09423828125,574.962036133,64871439.5206,287948590.938,0.000600511246137,4.16166334078,3.36,2.44,10,0.0479,0.12
23,7.55339948055e-9,-427.487983926,0.41552734375,659.257475586,28621182.1577,105699157.468,0.00188046857952,5.46814960794,0.69,3.99,18,0.0316,0.66
25,6.75282875712e-9,-350.575685417,0.61376953125,575.023359375,24469649.7225,86280986.8665,0.00339221461008,5.97231337152,4.84,2.32,31,0.0488,0.82
26,6.06158112194e-9,-296.438940903,-0.25,575.145681152,57469995.5334,248856457.223,0.00087508641595,4.28578973958,4.4,0.26,29,0.092,0.15
27,4.73427650219e-9,-185.461725924,-0.06591796875,574.97765625,59607147.9728,270827690.011,0.00067190420235,4.21920222788,2.45,2.37,16,0.0213,0.17
28,5.21416181371e-9,-223.929694467,-0.25,575.03953125,71762650.9332,315488936.989,0.000651901746477,4.0889899174,2.02,2.82,24,0.0548,0.06
29,9.58997573642e-9,-670.676037519,0.75537109375,574.954277344,22651616.4058,78814211.3461,0.00292271899031,6.22632633766,2.66,4.86,17,0.0982,0.89
30,5.82348396571e-9,-278.268189983,-0.06591796875,575.011445312,60677588.5398,262170144.965,0.000706440932378,4.23806322208,3.23,1.11,18,0.0968,0.12
31,6.03384260831e-9,-289.528491155,-0.080078125,575.098754883,54855949.3971,238108924.027,0.000689635789235,4.32736174865,4.66,3.19,5,0.0665,0.19
32,6.71173744282e-9,-346.109131569,0.18896484375,575.044052734,39127508.1197,157023050.044,0.0011843698497,4.78980306879,4.18,4.78,8,0.0749,0.39
33,6.21710829171e-9,-302.851984675,0.2314453125,575.017910156,36797889.101,144850326.635,0.00149369809044,4.90535505058,4.72,2.89,16,0.0597,0.44
34,4.65481413009e-9,-184.062322382,-0.17919921875,575.010159912,71176626.4481,316523864.604,0.000660829247038,4.08892396451,3.43,1.14,27,0.0471,0.07
35,5.43454619806e-9,-238.265057443,-0.0517578125,575.007330322,57772865.8603,254978095.317,0.000620596604505,4.26602767503,4.48,1.35,5,0.0356,0.18
36,7.42502872399e-9,-415.061802548,0.535888671875,574.946308594,26317075.0343,94538078.9413,0.00212347946221,5.73114004752,2.65,2.02,18,0.0383,0.74
37,9.59518650819e-9,-668.392898341,0.4296875,575.028652344,29017980.9713,107989164.144,0.00176304922001,5.42117932423,2.11,2.31,16,0.0902,0.62
38,7.44312493387e-9,-425.515332712,0.033203125,574.98987793,52774246.063,226838576.441,0.000928835099354,4.37353783223,1.74,2.48,29,0.0713,0.21
39,5.88269153055e-9,-272.137138466,0.599609375,574.987724609,24743555.4975,87581909.7426,0.00233931156086,5.93004780892,3.83,2.53,14,0.0441,0.81
40,6.11272195509e-9,-295.908777689,-0.033631534296,574.963388672,57242249.1038,251922270.706,0.000677733448101,4.27771952405,1.97,1.82,14,0.0472,0.18
41,5.53038464677e-9,-247.207158406,-0.1083984375,575.020703125,65141373.8681,293112860.869,0.000594477783285,4.15365351721,3.73,0.39,15,0.0421,0.12
42,7.22416945132e-9,-403.918237685,0.18896484375,575.035661621,39851274.6366,162792424.418,0.00129313448776,4.74571598932,2.87,1.44,27,0.0864,0.37
44,1.04716604636e-8,-377.508018467,0.6279296875,705.922570801,24674440.149,88766386.0349,0.00258321072145,5.88355737131,0.36,4.49,27,0.0861,0.8
45,8.96012622542e-9,-586.004000787,0.35888671875,575.004541016,31313776.8769,117826087.883,0.00154997204714,5.25081529115,1.49,0.94,24,0.0494,0.57
46,1.06612150708e-8,-815.026972339,0.0615234375,602.861987305,46157274.7291,194358700.639,0.000822179804437,4.53272723897,1.15,3.48,6,0.0969,0.27
47,6.46614424373e-9,-328.044221224,0.111083984375,575.053198242,41310714.1315,168350032.237,0.00122179629927,4.69884583804,4.92,3.38,13,0.0691,0.35
48,6.91993550535e-9,-373.861674801,0.0048828125,609.230273438,50987554.4305,217798673.191,0.000745593830121,4.40824129447,0.58,2.84,10,0.0961,0.21
49,5.05211475559e-9,-212.080917385,-0.016357421875,574.977197266,54249897.3331,238496656.027,0.00097092038185,4.32805734052,3.92,2.73,24,0.0369,0.21
50,1.08980262772e-8,-842.727940773,0.5712890625,574.978242187,26143629.4856,94349701.5509,0.0017673612375,5.72806785279,1.56,0.32,13,0.0827,0.73
51,4.86799913226e-9,-200.146597719,-0.17919921875,575.020725098,72819807.5188,319386607.436,0.00072632699549,4.08302472538,4.74,4.15,18,0.0594,0.05
54,6.53495537283e-9,-336.345148312,-0.1083984375,595.550710449,59412409.7572,257966165.915,0.000599337470273,4.25625981867,0.47,1.39,11,0.0968,0.13
55,6.63082417973e-9,-335.681694246,0.31640625,574.97282959,33000794.5143,125996367.561,0.00120761966681,5.13604103017,2.51,0.38,1,0.0479,0.53
56,3.71683546965e-9,-123.627273726,-0.1650390625,574.945330811,72790153.6755,350448156.166,0.000456017937056,4.0379915317,3.52,4.45,5,0.012,0.08
57,7.50078377156e-9,-425.135233087,0.69873046875,574.952294922,23267830.478,81707365.7773,0.00335733061104,6.12319435804,3.76,4.73,23,0.0718,0.87
58,5.82243567544e-9,-269.900032683,0.295166015625,574.972412109,33683022.5257,129230892.505,0.00135029321776,5.08164623772,3.15,2.58,8,0.0378,0.51
59,5.37841097141e-9,-237.429911626,-0.058837890625,574.982619629,61454620.021,272641441.505,0.000549076444279,4.20765643814,2.7,1.48,3,0.0433,0.15
60,5.74887530364e-9,-261.212031465,-0.13671875,575.088947754,60225852.9584,266127071.171,0.000606388451733,4.23114897166,3.64,1.42,7,0.0586,0.15
61,5.30905768699e-9,-228.063962893,-0.25,575.047128906,68982304.1155,303984465.659,0.000611010252988,4.11892562867,2.38,3.41,14,0.0561,0.08
63,8.5584785839e-9,-546.284864966,0.203125,575.026245117,38886459.3699,157180304.641,0.000984968425269,4.79204509309,2.16,4.84,2,0.0987,0.38
65,5.98867237718e-9,-283.802940508,0.436767578125,575.001123047,28372639.6518,104874383.157,0.00187771152782,5.48491435483,2.84,2.96,14,0.0227,0.67
66,8.40050571901e-9,-516.276984756,0.638549804688,635.495727539,23583110.0437,83062423.114,0.00226949547181,6.08213693572,1.17,4.88,10,0.0182,0.87
67,6.5310442623e-9,-334.012522567,0.203125,574.993304443,40319136.0242,164196237.301,0.00116458106258,4.73091259301,4.1,1.41,15,0.0777,0.37
68,6.15164575675e-9,-298.842056011,-0.20751953125,574.961730957,79349678.1342,358375113.474,0.000631640129191,4.01228400087,0.7,4.8,28,0.0285,0.02
69,5.35116610708e-9,-227.671608118,-0.0906982421875,574.962158203,62811399.4104,295007152.542,0.000689074439858,4.16279992404,1.35,4.3,21,0.0112,0.15
70,5.65542628311e-9,-255.762936476,-0.06591796875,575.026245117,58295077.8032,258931544.406,0.000554337084389,4.25906001749,3.6,2.93,0,0.0431,0.17
71,7.08800418456e-9,-382.035577482,0.5712890625,574.945693359,25890362.51,92893371.8981,0.00231154841138,5.77397230311,3.06,1.81,22,0.0445,0.76
72,5.22642742096e-9,-230.253631095,-0.25,575.035776367,69701059.7453,301586478.587,0.000700536634356,4.12124038748,2.54,2.63,24,0.0761,0.06
73,5.97833978693e-9,-280.433461129,0.61376953125,574.962335205,24534938.5231,86927921.9206,0.00205821841371,5.95697288594,4.7,4.17,5,0.0389,0.82
74,8.32388095818e-9,-513.658581818,0.07568359375,574.985058594,48208843.7502,204730739.327,0.000868643822133,4.47539045332,1.61,2.88,14,0.0786,0.26
75,8.43253856356e-9,-414.279348776,0.6845703125,615.756774902,22982242.9689,80803737.3297,0.00219565946371,6.15392029276,0.41,3.29,11,0.0962,0.87
76,6.78707062534e-9,-356.717832789,0.146484375,574.995124512,40564504.3478,165006869.444,0.00090619935547,4.72909550492,2.66,1.47,1,0.0709,0.36
77,5.87774084289e-9,-280.033643562,-0.0234375,574.977832031,56579837.1806,247028745.785,0.000825097014028,4.29214812999,2.7,2.18,23,0.0558,0.18
78,7.37984399928e-9,-352.148653586,0.4296875,603.134406738,29552312.5864,110957959.594,0.00149853399719,5.36914589983,0.31,1.03,21,0.0805,0.61
79,5.60747009383e-9,-247.777807991,0.564208984375,574.98425293,25226114.6414,90138484.8569,0.00209161527544,5.8491989488,4.77,0.43,12,0.0293,0.79
80,6.71633636317e-9,-348.109302521,0.719970703125,575.001403809,22313152.1382,77512228.6748,0.00268811322517,6.28882843856,3.0,0.69,25,0.0508,0.93
81,5.12063775705e-9,-216.664098793,-0.172119140625,575.016621094,73487367.2405,325235071.205,0.000524197808583,4.06992846438,3.54,3.1,8,0.0527,0.05
82,6.92560781007e-9,-373.655524445,0.203125,575.022026367,38176684.3864,152433046.439,0.00117791872102,4.83245736138,3.18,0.54,16,0.083,0.4
83,5.61143968942e-9,-256.429618222,-0.087158203125,575.006455078,62705091.8102,286987862.387,0.000506550834141,4.17284866777,1.33,0.26,4,0.0228,0.15
84,4.58339114157e-9,-177.312012123,-0.1083984375,574.968032837,65196926.7836,305199327.513,0.000790129123017,4.13321023344,4.89,3.02,23,0.0182,0.13
85,5.33384044165e-9,-232.384349098,0.266845703125,575.925025635,34487527.1659,134291628.442,0.00111787175344,5.02446501495,0.61,0.32,1,0.0217,0.5
86,8.08523113315e-9,-493.631878413,0.16064453125,575.008898926,41738505.9965,172099779.37,0.00105925892839,4.66869857024,2.22,3.96,11,0.095,0.34
88,7.42498593994e-9,-427.62760244,0.18896484375,575.03342041,40393952.9313,165755673.647,0.0012051129645,4.7250641422,2.8,2.67,18,0.0919,0.36
90,5.14226560285e-9,-213.496310531,0.277465820313,574.96560791,34051922.1963,132073575.217,0.00155549851729,5.04986230344,3.46,2.52,17,0.0181,0.51
91,6.82245611971e-9,-361.294389329,0.578369140625,601.914858398,24563371.2029,86895718.2924,0.00194916934339,5.95545581918,0.66,0.46,24,0.0565,0.81
92,7.75480809781e-9,-444.807551498,0.447387695313,655.443178711,27821837.4272,103161315.348,0.00190262086786,5.52163475971,0.83,4.2,16,0.0101,0.69
93,6.06075488059e-9,-290.849936209,0.380126953125,574.970947266,31010425.276,116513208.6,0.00215521736516,5.27493614956,3.11,4.01,24,0.045,0.58
94,6.93990722379e-9,-365.447944058,0.47216796875,574.990979004,28307209.8852,103706084.481,0.00187431086083,5.51130733967,3.54,4.03,10,0.0656,0.66
95,5.42547128949e-9,-239.006379256,0.2880859375,574.973461914,33473412.0328,128742053.975,0.00183222445376,5.08672850238,2.76,1.94,32,0.0239,0.52
96,7.90978652034e-9,-469.945561255,0.5146484375,578.317497559,26948938.818,95935700.1174,0.00163029303597,5.69487098205,2.08,1.25,1,0.0545,0.72
97,5.26954139089e-9,-228.596279913,0.553588867188,574.963823242,25283315.2054,90977057.0631,0.00317893805058,5.82029191685,3.4,4.76,27,0.0157,0.79
98,4.5265935294e-9,-172.226083165,-0.168579101563,575.004272461,73087025.1282,338780942.179,0.000530784053263,4.05019200817,2.07,2.93,15,0.0254,0.07
99,5.2203139942e-9,-219.501426401,0.107543945313,574.954990234,43460436.0195,183896961.351,0.00141986982268,4.59347342993,2.78,4.69,27,0.0177,0.34
100,7.20764694148e-9,-399.562601719,0.41552734375,575.014709473,30546524.0599,115981103.503,0.0023109400975,5.27453326192,3.84,4.07,25,0.0888,0.58
101,6.10671946662e-9,-290.900914145,0.72705078125,574.954291992,22215752.4347,77224323.0482,0.00314406998321,6.30161435007,4.96,1.43,23,0.037,0.94
102,1.0043137344e-8,-723.007934999,0.52880859375,574.963095703,26607318.838,96408627.5415,0.00217598426422,5.67497728814,1.64,4.63,16,0.0511,0.73
103,6.33860717214e-9,-317.931870658,-0.2216796875,574.983603516,75686761.2373,324793920.742,0.000514853676001,4.062028291,0.87,0.82,26,0.0679,0.02
105,7.39503423779e-9,-421.758343096,-0.25,575.126781006,60070843.3567,260571725.53,0.000797733922038,4.24461512852,1.65,2.74,27,0.0897,0.13
106,5.40154891968e-9,-233.934469853,-0.25,575.042327881,72048475.4382,308342879.328,0.000533146832283,4.09561127505,4.73,2.92,5,0.0794,0.04
107,9.95952221102e-9,-709.88870225,0.0048828125,596.172202148,50551503.5511,216588254.326,0.000718390933192,4.41538737431,0.99,2.54,6,0.0708,0.23
109,5.37946188043e-9,-235.182658028,0.55712890625,574.956518555,25381057.5815,90985496.1549,0.00172220460879,5.82804522929,4.02,0.68,1,0.0186,0.79
110,6.20024141651e-9,-302.167877458,0.033203125,575.036481934,49055665.5705,207578243.513,0.00120987043086,4.46096225716,4.12,4.35,22,0.0692,0.25
111,6.58907357574e-9,-330.346668157,0.252685546875,575.01097168,34901813.2682,136205116.857,0.00121325787628,4.99573081833,2.49,2.59,6,0.0222,0.49
112,5.9427441297e-9,-278.25103328,0.4296875,575.005820312,28661161.648,105827753.291,0.00153792065889,5.47141211315,4.59,1.95,3,0.0338,0.66
113,6.92281318322e-9,-376.052281048,0.4013671875,575.001228027,29775496.0129,112088249.786,0.00193059271485,5.34796610173,4.13,4.81,13,0.0893,0.6
114,5.39462128549e-9,-237.638013939,0.238525390625,574.997036133,35683213.8448,140271791.37,0.00113347646585,4.95537073961,3.87,2.56,3,0.0259,0.47
115,6.86508985121e-9,-370.889997721,0.38720703125,575.017088623,30702246.5041,116241431.677,0.00139946888415,5.27535861468,4.02,3.41,3,0.0883,0.58
116,9.67411382899e-9,-675.402309681,0.10400390625,575.020483398,43318794.2181,178899930.692,0.00103829800316,4.62587897352,1.16,1.32,30,0.0479,0.33
117,5.28620443109e-9,-227.30866303,0.111083984375,574.95880127,44009483.1874,183056648.338,0.00149153851715,4.59607235433,4.97,3.73,25,0.0329,0.33
